"Date","iOS","Android","Samsung","Unknown","Windows","Other"
2020-09,59.72,40.09,0.12,0.01,0.02,0.05
2020-10,60.21,39.61,0.12,0.01,0.01,0.04
2020-11,61.23,38.59,0.12,0.01,0.01,0.03
2020-12,61.07,38.76,0.11,0.01,0.01,0.03
2021-01,61.47,38.33,0.14,0.02,0.01,0.03
2021-02,60.72,39.01,0.23,0.01,0.01,0.03
2021-03,59.98,39.75,0.22,0.01,0.01,0.02
2021-04,59.13,40.58,0.21,0.02,0.03,0.04
2021-05,58.1,41.57,0.29,0.01,0.01,0.02
2021-06,57.62,42.06,0.28,0.01,0.01,0.02
2021-07,57.26,42.4,0.3,0.01,0.01,0.02
2021-08,56.7,42.95,0.3,0.01,0.01,0.02
2021-09,57.08,42.59,0.28,0.01,0.01,0.02
