"Date","Android","iOS","Samsung","KaiOS","Unknown","Nokia Unknown","Windows","Linux","Series 40","Tizen","Other"
2020-09,74.44,24.98,0.22,0.08,0.14,0.03,0.03,0.02,0.02,0.02,0.02
2020-10,72.92,26.53,0.22,0.07,0.13,0.02,0.03,0.02,0.02,0.01,0.02
2020-11,71.18,28.19,0.24,0.13,0.14,0.02,0.03,0.02,0.02,0.01,0.02
2020-12,72.48,26.91,0.23,0.13,0.14,0.02,0.02,0.02,0.02,0.01,0.02
2021-01,71.93,27.47,0.28,0.1,0.13,0.02,0.02,0.02,0.02,0.01,0.02
2021-02,71.9,27.33,0.39,0.14,0.14,0.02,0.02,0.02,0.02,0.01,0.02
2021-03,71.83,27.41,0.38,0.14,0.14,0.02,0.02,0.02,0.02,0.01,0.02
2021-04,72.19,27,0.39,0.17,0.14,0.02,0.02,0.02,0.02,0.01,0.02
2021-05,72.72,26.46,0.39,0.17,0.15,0.02,0.02,0.02,0.02,0.01,0.02
2021-06,72.83,26.35,0.41,0.18,0.14,0.03,0.02,0.02,0.02,0.01,0.01
2021-07,72.21,26.92,0.43,0.19,0.14,0.03,0.02,0.02,0.01,0.01,0.01
2021-08,72.74,26.42,0.42,0.19,0.14,0.02,0.02,0.02,0.01,0.01,0.01
2021-09,72.44,26.75,0.41,0.17,0.14,0.02,0.02,0.01,0.01,0.01,0.01
